id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/ACTAAP_2010_7_7,Care este cea mai bună dovadă că diviziunea celulară are loc constant în corpul nostru?,D,Există multe tipuri diferite de țesuturi în corpul uman.,Oamenii activi au adesea nevoie de mai multă hrană decât cei inactivi.,Corpul trebuie să continue să respire non-stop.,Oamenii pierd milioane de celule moarte ale pielii în fiecare zi.,
ARC-Challenge/train/Mercury_SC_LBS10782,Proprietățile fizice și chimice pot fi folosite pentru a clasifica substanțele. Care dintre acestea prezintă o proprietate chimică?,B,Sulfurul este un solid galben.,Magneziul se aprinde.,Argintul se topește.,Aluminiul conduce căldura.,
ARC-Challenge/train/Mercury_7204260,"Amilaza salivară este o enzimă în corpul uman care digeră carbohidrații din alimente. Când hrana mixată cu saliva intră în stomac, acțiunea amilazei salivare încetinește dramatic. Ce cauzează oprirea amilazei salivare în digestia alimentelor?",A,Temperatura alimentelor crește în stomac.,Concentrația alimentelor scade în stomac.,PH-ul stomacului este mai mic decât cel din gură.,Alimentele sunt amestecate mai mult în gură decât în stomac.,
ARC-Challenge/train/VASoL_2008_5_9,Pământul face o rotație completă în jurul Soarelui cam o dată pe,B,anotimp,an,zi,minut,
ARC-Challenge/train/Mercury_7222810,"În secolul al XVII-lea, Galileo a propus o ipoteză pentru a explica modul în care pompele de aspirație funcționează. Ipoteza lui Galileo a fost infirmată, dar mai târziu a ajutat în dezvoltarea unui instrument pentru măsurarea presiunii atmosferice de către Torricelli. Cum a ajutat cel mai probabil ipoteza lui Galileo în dezvoltarea acestei noi tehnologii?",D,prin furnizarea de dovezi a efectelor presiunii atmosferice,prin permiterea unui altui savant să critice ipoteza lui Galileo,prin conducerea lui Galileo la proiectarea unei tehnologii diferite,prin inspirarea altui savant să testeze o altă ipoteză alternativă,
ARC-Challenge/train/ACTAAP_2007_7_23,Cum se numește creșterea temperaturii la nivel mondial?,B,reducea stratului de ozon,încălzirea globală,efectul de seră,încălzirea solară,
ARC-Challenge/train/MDSA_2008_5_30,"Pe Pământ, apa poate fi solidă, lichidă sau gazoasă. Care sursă de energie are cea mai mare influență asupra stării de agregare a apei?",A,curenții oceanici,vântul,soarele,nucleul metalic,
ARC-Challenge/train/Mercury_SC_406042,O pădure tropicală pluvială conține multe copaci înalți. Plante mai mici cu frunze mari cresc la baza copacilor înalți. Frunzele mari sunt cel mai probabil o adaptare a plantei datorită cărei condiții?,A,lipsa apei,lipsa oxigenului,lipsa luminii solare,lipsa hranei,
ARC-Challenge/train/Mercury_7033863,"Care dintre următoarele acțiuni determină, cel mai des, apariția dolinelor la suprafața Pământului?",A,coliziunea plăcilor tectonice,impactul meteoritilor,extragerea apei subterane,vremea mecanică,
ARC-Challenge/train/MSA_2013_5_33,"Poluarea plajelor include canalizare, recipiente din hârtie și plastic și ulei provenit de la bărci. Care dintre activitățile de plajă crește cel mai probabil poluarea?",C,mâncarea prânzului la pachet,colectarea scoicilor,observarea păsărilor,construirea unui castel de nisip,
ARC-Challenge/train/TIMSS_2011_4_pg105,Care dintre aceste schimbări ale solului se datorează doar cauzelor naturale?,D,Inundațiile datorate construcției de baraje.,Formarea de deșerturi datorată tăierii de copaci.,Pierderea de minerale datorată agriculturii.,Spălarea de minerale datorată ploilor torențiale.,
ARC-Challenge/train/Mercury_410719,"Un student împinge un coș de cumpărături plin cu produse alimentare. Coșul are o masă de 12 kilograme (kg). Studentul împinge coșul cu o forță de 15 newtoni (N). Presupunând că solul este lipsit de frecare, cât de repede se va accelera coșul până când studentul oprește aplicarea forței?",C,1.25 m/s^2,0.8 m/s^2,0.625 m/s^2,2.5 m/s^2,
ARC-Challenge/train/Mercury_7082635,Forța de gravitație exercitată de un obiect depinde de,C,masa.,greutatea.,volumul.,dimensiunea.,
ARC-Challenge/train/Mercury_7262833,"S-a descoperit un nou organism. Este multicelular, autotrof și nu se mișcă de unul singur. În ce regnuri ar putea să se încadreze acest organism?",B,Animale și fungi,Protiste și plante,Fungi și plante,Protiste și animale,
ARC-Challenge/train/Mercury_7081095,"Într-un joc de tras de funie, forțele echilibrate sunt cel mai bine reprezentate atunci când ambele echipe determină steagul să",A,se miște încet într-o direcție.,cadă la pământ.,rămână în mijloc.,fie tras rapid într-o direcție.,
ARC-Challenge/train/Mercury_417140,Unde este cel mai probabil ca magnificarea biologică a poluanților să fie cea mai mare?,A,la o zonă intertidală,într-un ocean deschis,într-un estuar,la o deschizătură hidrotermală,
ARC-Challenge/train/MCAS_2008_5_5623,The marsh willow herb este o plantă nativă din nord-estul Statelor Unite. Crește cel mai bine în habitate umede. Care dintre următoarele schimbări de mediu ar cauza cel mai probabil o scădere a populației de marsh willow herb într-o anumită zonă?,B,temperaturi neobișnuit de scăzute în timpul lunii iulie,o secetă care durează doisprezece luni,o furtună care durează câteva săptămâni,temperaturi neobișnuit de ridicate în timpul lunii ianuarie,
ARC-Challenge/train/MCAS_2004_8_17,În ce situație ar fi un avantaj să trimiteți un produs cu avionul în loc să-l trimiteți cu camionul?,C,Produsul trebuie livrat la distanță mare imediat după ce este făcut.,Produsul este sensibil la variațiile de presiune.,Produsul este foarte greu și relativ mare.,Produsul trebuie livrat la mai multe locații situate într-un rază de 50 mile.,
ARC-Challenge/train/Mercury_SC_400119,Care schimbare va apărea în firul unui circuit electric care funcționează corect?,A,Firul va forma un câmp electric.,Firul va pierde o parte din masa sa.,Firul va deveni mai cald.,Firul va dezvolta o nouă structură cristalină.,
ARC-Challenge/train/Mercury_7185448,Aprinderea unei chibrituri și coacerea unui tort sunt două acțiuni care implică schimbări chimice. De ce aceste acțiuni sunt considerate schimbări chimice?,B,Ele schimbă volumul.,Ele creează noi substanțe.,Ele schimbă starea materiei.,Ele creează energie.,
ARC-Challenge/train/Mercury_7093993,Construirea unui baraj va cel mai probabil,B,permite pestilor să urce mai ușor pe râu.,distruge habitatul pentru multe specii de animale.,preveni poluarea apei.,determina oamenii să consume mai multă apă.,
ARC-Challenge/train/MCAS_1999_4_8,Care dintre următoarele obiecte NU este fabricat dintr-un material crescut în natură?,C,o lingură din plastic,o scaun din lemn,o cămașă din bumbac,un coș din iarbă,
ARC-Challenge/train/Mercury_7228025,"Care factor explica cel mai bine cum se formeaza multe boli, cum ar fi cancerul, in interiorul corpului?",B,Un raspuns al sistemului imunitar a fost declansat de o reactie alergica.,A avut loc o perturbare in ciclul celular.,A avut loc o leziune traumatizanta a corpului.,A avut loc o mutatie in timpul procesului de incrucisare.,
ARC-Challenge/train/Mercury_401030,Citește ecuația. 2Ca + O_{2} -> 2CaO Care este produsul reacției?,D,soluție,amestec,metal,compus,
ARC-Challenge/train/MSA_2013_5_44,O navă este în derivă și scapă o cantitate mare de petrol în apropierea unei zone de coastă. Care dintre următoarele afirmații descrie cel mai probabil cum va afecta petrolul habitatul coastal?,B,Plantele acvatice vor fi expuse la mai multă lumina soarelui.,Păsările de apă nu vor putea să-și folosească aripile.,Rata de reproducere a peștilor va crește.,Plantele de coastă vor avea acces la mai mulți nutrienți.,
ARC-Challenge/train/Mercury_7133700,Care dintre următoarele fapte despre apa este un exemplu de proprietate chimică?,C,Apa se poate separa în hidrogen și oxigen.,Punctul de fierbere al apei este de 100°C.,Apa se dilată când îngheață.,Densitatea apei este mai mare decât densitatea gheții.,
ARC-Challenge/train/NYSEDREGENTS_2005_8_44,Populațiile care trăiesc într-un singur loc formează o,A,habitat,sistem,comunitate,specie,
ARC-Challenge/train/ACTAAP_2010_5_6,"Mara a plantat șase ghivece de semințe de salată. Ea a pus trei ghivece într-o zonă însorită și trei ghivece într-o zonă umbroasă. Ea le-a udat pe toate în același mod și a măsurat creșterea salatei. După ce Mara își analizează datele, ce concluzie o va ajuta să tragă?",B,Câtă apă să dea salatei,Unde să planteze salata ei,Când să planteze salata ei,Câte plante de salată să crească,
ARC-Challenge/train/Mercury_7271180,Care este relația dintre o comunitate și o populație?,D,O populație include comunități de organisme care interacționează.,O populație este mai mare decât o comunitate.,O populație este mai mică decât o comunitate.,O comunitate include populații de organisme care interacționează.,
ARC-Challenge/train/Mercury_7126683,"Carbonul de pe Pământ poate fi găsit atât în materie vie, cât și în cea nevie. Pentru ca acesta să fie disponibil în mod continuu, trebuie reciclat. Prin ce proces este disponibil carbonul în atmosferă?",D,fotosinteza plantelor,stratificarea solului,formarea combustibililor fosili,incendiile din pădure,
ARC-Challenge/train/CSZ_2004_5_CSZ10003,Care dintre următoarele întrebări poate fi testată într-o investigație științifică?,C,Sunt pisicile mai active noaptea decât ziua?,Sunt câinii fericiți când sunt plimbați?,Sunt câinii animale de companie mai bune decât pisicile?,Sunt pisicile mai ușor de îngrijit decât câinii?,
ARC-Challenge/train/Mercury_SC_415364,Privighetoarele preferă să trăiască în apropierea zonelor deschise și ierboase. Unde ai găsi cel mai probabil o privighetoare?,C,un teren de sport,o plajă,un baraj,o parcare,
ARC-Challenge/train/Mercury_7228288,La ce nivel de organizare daunele compromit funcționarea întregului sistem?,B,un țesut,un organ,o celulă,un organit,
ARC-Challenge/train/Mercury_7097388,"Uranus este unul dintre planetele exterioare ale sistemului solar. Distanta medie a lui Uranus fata de Soare este de 2,87 miliarde kilometri. Care dintre urmatoarele optiuni explica cel mai bine de ce Uranus se roteste in orbita sa, in loc sa se miste in afara spatiului?",B,Energia electromagnetica trage de Uranus.,Gravitatea trage Uranus spre Soare.,Orbita lui Neptun limiteaza Uranus.,Alte planete au aceeasi masa ca Uranus.,
ARC-Challenge/train/Mercury_SC_LBS10343,"Greutatea utilajelor grele compactează solul, în special atunci când este umed. De ce fermierii evită să conducă utilajele lor pe terenul umed?",B,Mineralele sunt distruse când solul este compactat.,Plantele nu pot crește când solul este compactat.,Solul compactat va absorbi prea multă apă.,Solul compactat crește aciditatea solului.,
ARC-Challenge/train/MDSA_2010_4_14,O stea este un obiect ceresc care produce propria căldură și lumină. Care dintre aceste obiecte cerești este cea mai apropiată stea de Pământ?,C,Soarele,Venus,Marte,Luna,
ARC-Challenge/train/Mercury_7071908,Un lac a fost folosit timp de mai mult de un secol pentru a iriga culturile. Cum aceasta practică cel mai probabil a afectat această resursă?,D,A crescut numărul de pești din lac.,A crescut rata de evaporare a apei.,A scăzut conținutul de sare din apă.,A scăzut volumul lacului.,
ARC-Challenge/train/Mercury_7223353,"Pornind de la locațiile lor în tabelul periodic, care element are proprietăți chimice cel mai similare cu cele ale calciului, Ca?",A,"titan, Ti","potasiu, K","beriliu, Be","itriu, Y",
ARC-Challenge/train/MCAS_2008_8_5719,Care dintre următoarele structuri nu este prezentă în celulele animale?,B,mitochondrii,perete celular,membrana celulară,nucleu,
ARC-Challenge/train/Mercury_7109253,Oamenii de știință au măsurat rata de creștere a bazinului Oceanului Atlantic la aproximativ 2-3 cm pe an. Acest tip de activitate coincide cu formarea spinărilor de pe fundul oceanului. Care este cel mai probabil cauza acestei activități?,D,curgerea bazaltului continental,depunerea de sedimente,erodarea din acțiunea mareelor,miscarea plăcilor tectonice,
ARC-Challenge/train/AKDE&ED_2012_8_45,Care acțiune este cea mai probabil un comportament învățat?,C,Un pui de leu își exersează abilitățile de vânătoare.,O păianjen își țese o pânză.,O pasăre își construiește un cuib.,Un vierme de pământ se îndepărtează de lumină puternică.,
ARC-Challenge/train/MCAS_2004_9_15,Un dispozitiv de navigare de 72 W de pe un avion comercial are o sursă de alimentare de 24 V și utilizează 3 A de curent electric. Care este rezistența electrică a dispozitivului de navigare?,B,13 ohmi,8 ohmi,4 ohmi,22 ohmi,
ARC-Challenge/train/Mercury_7248010,Ochelarii au două brațe numite tâmple atașate de lentilele ochilor printr-un balamaua foarte mică. Care dintre acestea funcționează asemenea balamalelor de la ochelari?,A,vertebrele gâtului,degete,genunchi,baza degetului mare,
ARC-Challenge/train/Mercury_7145478,"Multe îngrășăminte conțin materiale organice care sunt utile pentru un pomicultor, dar au efecte diferite atunci când ploile cauzează rularea acestora într-un ecosistem de apă dulce. Cum afectează cel mai frecvent adăugarea de deșeuri organice din îngrășăminte ecosistemele de apă dulce?",D,descreșterea înfloririi algelor,creșterea clarității apei,creșterea biodiversității,descreșterea nivelurilor de oxigen,
ARC-Challenge/train/Mercury_7270305,"Multe cai cresc un strat gros de blana toamna și îl pierd primăvara. Oamenii de știință nu erau siguri dacă temperatura sau cantitatea de lumină zilnică (denumită fotoperiod) cauzează aceste schimbări. Așadar, ei au efectuat un experiment și au concluzionat că schimbarea fotoperiodului a fost responsabilă pentru schimbările biologice. Ce set de condiții a provocat pierderea blănii și i-a ajutat să ajungă la această concluzie?",D,un fotoperiod constant și temperatură constantă,un fotoperiod variat și temperaturi variate,"un fotoperiod constant, dar cu temperaturi variate","un fotoperiod variat, dar o temperatură constantă",
ARC-Challenge/train/Mercury_7245070,Care alimente pot fi descompuse în mare parte în aminoacizi?,B,felii de mere,chiftele de hamburger,tăiței de spaghete,felii de castraveți,
ARC-Challenge/train/MDSA_2011_4_12,"Broasca țestoasă de munte este o specie aflată în pericol în Maryland. Pe lângă pierderea habitatului, cel mai probabil ce a dus la declinul acestei populații de broaște?",D,protejarea zonelor umede native,mai multe locuri de reproducere a broaștelor,o creștere a unei surse alimentare,toxine dizolvate în apă,
ARC-Challenge/train/Mercury_SC_407783,Clasa doamnei Gordon studiază plopi de arțar. Ce proprietate pot măsura elevii cu o riglă?,C,lungimea unei crengi,volumul de sirop,masa unei frunze,temperatura scoarței,
ARC-Challenge/train/MSA_2012_8_33,Un grup de elevi intenționează să construiască un model de habitat de iaz local. Care model reprezintă cel mai bine un mediu similar cu cel al unui iaz?,D,"un acvariu din sala de clasă ce conține plante și animale de apă dulce, dar care nu sunt nativi",un acvariu din sala de clasă ce conține plante și animale achiziționate dintr-un magazin,o sticlă din plastic sigilată ce conține insecte și alge de la iaz,o piscină mică din plastic pentru exterior ce conține plante și animale native și apă dulce,
ARC-Challenge/train/Mercury_402349,"Conform unei scale de pH, care pH ar fi cel mai puternic acid?",A,9,6,3,12,
ARC-Challenge/train/Mercury_7145495,Oamenii pot îndepărta copacii căzuți din păduri pentru a reduce riscul de incendii. Îndepărtarea copacilor este acum considerată că va avea un impact asupra sănătății pădurii. Ce impact ar avea cel mai probabil îndepărtarea copacilor căzuți din păduri asupra sănătății pădurii?,C,diminuarea fertilității solului prin împiedicarea reciclării nutrienților,mai multe surse de hrană pentru ciupercile din pădure,creșterea riscului de incendiu de pădure,diminuarea vegetației din pădure prin creșterea pătrunderii luminii solare,
ARC-Challenge/train/MEA_2011_8_3,Care locație de pe Pământ are cea mai mică intensitate a luminii solare pe data de 22 decembrie?,D,Maine,Florida,Ecuator,Polul Nord,
ARC-Challenge/train/Mercury_7221795,"În cadrul unui studiu, un cercetător a observat o serie de schimbări moleculare diferite în materie. Care dintre următoarele observații furnizează dovezi ale unei schimbări fizice?",D,un tort care a fost copt din mai multe ingrediente,folosind lumină pentru a produce zahăr în plante,folosind căldură pentru a arde un buștean în șemineu,o sticlă care a fost spartă în mai multe bucăți mici,
ARC-Challenge/train/Mercury_7172795,Pielea este cel mai mare organ din corpul uman. De ce este considerată pielea un organ?,C,Este alcătuită din țesuturi.,Acționează ca o barieră.,Este alcătuită din celule.,Face parte dintr-un organism.,
ARC-Challenge/train/Mercury_SC_401369,Membrii unei echipe de planificare construiesc un model al unui râu apropiat și apoi blochează râul pentru a arăta cum poate forma un lac. Care este o limitare a acestui model?,D,explicarea modului în care o parte din apă poate fi folosită în agricultură,explicarea modului în care lacul va fi folosit în scop recreativ,arătarea modului în care un oraș apropiat va evita inundațiile,arătarea modului în care barajul va afecta plantele și animalele din zonă,
ARC-Challenge/train/MSA_2012_8_8,"Grecii antici sunt creditați cu multe concepte valide în astronomie. Unele dintre teoriile lor erau corecte; altele au fost ulterior dovedite ca fiind incorecte. O teorie era că Pământul era centrul universului și că alte planete învârteau în jurul Pământului. Grecii credeau că Pământul nu se mișca pentru că mișcarea sa nu era evidentă de la suprafața planetei. Grecii credeau de asemenea că o sferă invizibilă care înconjoară planeta noastră conține stelele. Această sferă se rotea, explicând mișcarea aparentă a constelațiilor în timp. Ce mișcare cea mai înaltă este responsabilă pentru fazele lunii?",A,luna rotindu-se în jurul axei sale,Pământul învârtindu-se în jurul Soarelui,luna învârtindu-se în jurul Pământului,Pământul rotindu-se în jurul axei sale,
ARC-Challenge/train/Mercury_7084700,"Atunci când sunt plasate la distanțe egale, cea mai mare atracție gravitatională va fi între două",D,bile de bowling.,frigidere.,plăci subțiri.,autobuze școlare.,
ARC-Challenge/train/MSA_2015_8_37,"Datele din tabele pot fi, de asemenea, prezentate sub formă de grafice. Ce tip de date ar fi afișat cel mai bine pe un grafic circular?",D,"cantitatea de precipitații înregistrată zilnic, într-o lună",adâncimea principalelor oceane de pe Pământ,distanța planetelor față de soare,procentul de materiale diferite din deșeurile solide,
ARC-Challenge/train/Mercury_411013,Un musculiță masculină are culoarea corpului gri determinată de un alelom dominant (G) și este încrucișată cu o musculiță feminină care are culoarea corpului negru de-a lungul celor două cromozomi omologhi (g). Care sunt probabilele fenotipuri ale descendenței?,D,100% negru,"50% gri, 50% negru","25% gri, 75% negru",100% gri,
ARC-Challenge/train/Mercury_SC_LBS10244,Care listă indică ordinea corectă a substanțelor de la cea mai scăzută temperatură de topire la cea mai mare?,A,"oxigen, fier, apă","apă, fier, oxigen","oxigen, apă, fier","fier, oxigen, apă",
ARC-Challenge/train/TIMSS_2003_8_pg52,Ce se formează atunci când un atom neutru primește un electron?,B,O moleculă,Un fier,O combinație,Un metal,
ARC-Challenge/train/Mercury_7090353,"Plantele de mlaștină mor, cad la sol și sunt îngropate de alte plante care mor. Aproximativ cât timp ar dura ca plantele să devină posibil un combustibil fosil?",A,10.000 de ani,100.000 de ani,1.000.000 de ani,1.000 de ani,
ARC-Challenge/train/Mercury_7230265,Se crede că erupțiile vulcanice din primele etape ale istoriei Pământului sunt responsabile pentru o mare parte din materia găsită acum în care structură a Pământului?,C,hidrosfera,astenosfera,mantaua,stratul de ozon,
ARC-Challenge/train/Mercury_SC_406048,O elevă plantează tufe de trandafiri în curtea ei din față. Eleva este frecvent văzută scoțând buruienile de la baza tufelor de trandafiri. Care este cel mai probabil motiv pentru care se scot buruienile?,B,Buruienile cresc bacteriile din sol.,Buruienile consumă nutrienți de care trandafirii au nevoie pentru a crește.,Buruienile adaugă îngrășăminte la sol.,Buruienile consumă cea mai mare parte a oxigenului.,
ARC-Challenge/train/Mercury_7238980,"O linie de păr ""vârful văduvei"" la oameni este codificată de alela dominantă W. O linie dreaptă de păr este codificată de alela recesivă w. Un bărbat cu omozigot dominant WW produce un zigot cu o femeie heterozigotă dominant Ww pentru trăsătura respectivă. Ce combinații de alele ar putea apărea în zigot?",B,Doar WW,WW sau Ww,WW sau ww,Doar Ww,
ARC-Challenge/train/Mercury_SC_401653,Care dintre formele de relief este rezultatul forțelor constructive ale unui ghețar?,B,câmpuri de striuri create într-o suprafata granitică de un ghețar,grămezi de pietre depuse de un ghețar care se topește,văi săpate de un ghețar în mișcare,coline de bazalt învolburate de trecerea unui ghețar,
ARC-Challenge/train/Mercury_416582,Care caracteristică o are un paramécium în comun cu volvox?,C,are un organit pentru mișcare,poate realiza fotosinteza,capabil să producă gamete,trăiește ca parte a unei colonii de celule,
ARC-Challenge/train/Mercury_7001155,"Înainte de a permite studenților să folosească ciocanele pentru a cerceta modul în care se rup diverse minerale, ce întrebare ar adresa cel mai probabil profesorul?",A,Care este scopul acestei investigații?,Cine va lua mineralele de pe raft?,Are toți ochelarii de protecție pusi și fixați corespunzator?,A venit cineva in voluntariat să facă desene cu zonele de rupere?,
ARC-Challenge/train/MCAS_2013_5_29397,Care dintre următoarele este un exemplu de formă de energie?,D,apa dintr-o baltă mică,sârma dintr-o agățătoare de haine metalică,aerul dintr-un borcan etanș,sunetul dintr-o sală de clasă zgomotoasă,
ARC-Challenge/train/Mercury_SC_417556,Un oraș a construit o șosea prin pădure. Cerbi trăiesc în pădure de ambele părți ale drumului. Care opțiune nu ar ajuta la protejarea cerbilor de mașinile care circulă pe șosea?,A,semne care avertizează șoferii să fie atenți la cerbi,luminile de-a lungul părții drumului,hranitoare de-a lungul părții drumului,poduri care permit cerbilor să treacă sub drum,
ARC-Challenge/train/Mercury_7213273,Un inginer a măsurat timpul necesar pentru ca sunetul să treacă prin probe de diferite materiale. Toate probele aveau aceeași formă și dimensiune. Măsurătorile au fost făcute utilizând unde ultrasonice cu o frecvență de 5 megahertzi. La care întrebare a încercat cel mai probabil să răspundă inginerul?,A,Afectează frecvența distanța parcursă de sunet?,În care material călătorește sunetul cel mai departe?,În care material călătorește sunetul cel mai rapid?,Afectează forma mediului viteza sunetului?,
ARC-Challenge/train/MCAS_2006_9_22,"Un băț de bowling de 7,0 kg este ridicat pe un raft de depozitare situat la 1,0 m deasupra pardoselii. Un al doilea băț de bowling de 7,0 kg este ridicat pe un raft de depozitare situat la 2,0 m deasupra pardoselii. Care dintre următoarele explica cel mai bine de ce forța de gravitație măsurată pe fiecare băț este aproape identică?",C,Distanța fiecărui băț față de centrul de masă al Pământului este aproape identică.,Cantitatea de muncă necesară pentru a ridica fiecare băț este identică.,Energia potențială finală a fiecărui băț a crescut.,Forța gravitațională a fiecărui băț asupra celuilalt anulează forța gravitației Pământului.,
ARC-Challenge/train/Mercury_7230580,Ce efect cauzează amestecarea apei reci din Oceanul Arctic cu curenții calzi de suprafață din Atlanticul de nord-vest al Europei?,A,creșterea salinității apei și a curentilor afectați,inversarea direcției curentului înapoi spre coasta europeană,scufundarea apei pe măsură ce circulă spre sud-vest,evaporarea rapidă și accelerarea curenților spre pol,
ARC-Challenge/train/Mercury_7109585,Majoritatea munților de pe Pământ se află în lanțuri uriașe ce se întind pe mii de mile. Care eveniment este cel mai probabil să provoace formarea acestor lanțuri montane?,D,erupție vulcanică,cutremure violente,eroziunea rocilor,mișcarea plăcilor,
ARC-Challenge/train/Mercury_SC_400300,Care dintre aceste instrumente ar fi cel mai potrivit de folosit pentru a observa insectele într-un câmp?,B,microscop,lupă,busolă,termometru,
ARC-Challenge/train/Mercury_7057715,Humus este o materie organică care compune solul. Care caracteristică indică cel mai bine că solul are un conținut ridicat de humus?,A,cantitatea de lut din mostre,masa mostrei,culoarea mostrei,cantitatea de rocă din mostre,
ARC-Challenge/train/Mercury_7093030,Cum afectează ploaia acidă în cel mai probabil mod pădurile?,D,Animalele au mai multe surse de hrană.,Plantele încep să crească rădăcini mai adânci.,Solul de deasupra pierde toate substanțele nutritive.,Arborii devin mai puțin sănătoși în timp.,
ARC-Challenge/train/Mercury_7188913,"În timpul unei excursii la NASA, Felicia a vizionat un scurt metraj despre materialele care alcătuiesc nebulosele. Care dintre subiecte a fost cel mai probabil prezentat în film?",B,orbitele planetare,formarea stelară,dezvoltarea asteroizilor,forme de galaxii,
ARC-Challenge/train/Mercury_7009923,Care dintre următoarele este o cauză probabilă pentru formarea de gropi de prăbușire?,A,formarea de roci dense sub solul superficial,o coliziune între două plăci tectonice,extragerea de resurse subterane,depunerea de sedimente pe fundul oceanului,
ARC-Challenge/train/Mercury_7166600,Creşterea şi activităţile organismelor pot accelera eroziunea chimică a rocilor. Ce organisme cauzează natural cea mai mare parte din eroziunea chimică a rocilor?,C,muşchi,puieţi de plante,mamifere mici,insecte,
ARC-Challenge/train/Mercury_7192448,Pădurile au fost tăiate și arse pentru a putea fi folosite pentru cultivarea plantelor. Ce consecință are această activitate asupra atmosferei Pământului?,B,Scăderea efectului de seră.,Reducerea producției de oxigen.,Reducerea cantității de producție a dioxidului de carbon.,Scăderea poluanților din aer.,
ARC-Challenge/train/Mercury_7139580,"Scursurile de la fermele din apropiere pot depune cantități excesive de nutrienți în corpuri de apă, cum ar fi lacurile. Acest proces abiotic va cauza, probabil, o scădere a cărui aspect al lacului?",B,cantitatea de minerale din apă,nivelul de oxigen pentru pești,adâncimea apei,accumularea de materie organică,
ARC-Challenge/train/Mercury_7228043,"Prin atașarea de radicali metilici la gene, ce proprietate este reglată?",D,exprimarea genelor,modul de moștenire genetică,informațiile stocate de gene,sistemul de codificare a genelor,
ARC-Challenge/train/Mercury_7216843,"Apa intra într-o celulă și materialul deșeu părăsește o celulă prin membrana celulară. Pe baza acestor informații, membrana celulară este",A,rigidă.,transparentă.,semi-permeabilă.,impermeabilă.,
ARC-Challenge/train/AKDE&ED_2008_8_11,"Pe măsură ce moleculele de apă încep să încetinească, acestea trec într-o fază în care nu mai pot fi ușor deplasate una de cealaltă. Apa trece printr-o schimbare de fază și va",B,deveni un element.,rămâne un compus.,rămâne o amestecare.,deveni un compus.,
ARC-Challenge/train/Mercury_401790,Care dintre aceste situații este un exemplu de trăsătură moștenită?,A,păsări urmând pattern-uri migratorii,maimuțe folosind crengi pentru a obține hrană,lei vânând zebre,ursi deschizând cutii frigorifice în camping-uri,
ARC-Challenge/train/Mercury_7188878,O combinație de procese apare atunci când se formează stele. Care este un proces cel mai probabil asociat cu formarea de noi stele?,B,"Elementele din stele, cum ar fi fierul, suferă fuziune.",Materialul se acumulează din stelele care au murit.,Hidrogenul din nucleele stelelor este epuizat.,Nucleele stelelor devin de două ori mai masive decât Soarele.,
ARC-Challenge/train/NYSEDREGENTS_2016_4_13,Care activitate umană are adesea un efect dăunător asupra mediului înconjurător?,D,ajutarea semințelor să germineze,mersul cu bicicleta la școală,reciclarea hârtiei și a plasticului,aruncarea gunoiului într-un râu,
ARC-Challenge/train/Mercury_7165883,Un dulgher a acoperit o bucățică de lemn cu o foaie subțire de hârtie. A lovit bucățica acoperită de lemn cu un ciocan. Lovitura a lăsat o mică gaură în hârtie care mirosea a fum. Ce fel de transfer de energie a demonstrat cel mai probabil acest eveniment?,B,mecanic la chimic,mecanic la termic,chimic la termic,chimic la mecanic,
ARC-Challenge/train/MDSA_2008_5_16,Un elev lasă un recipient cu apă afară într-o zi caldă și însorită. Ce proces are cel mai probabil loc cu apa din recipient?,C,evaporare,înghețare,topire,condensare,
ARC-Challenge/train/Mercury_SC_LBS10951,Care este afirmația care descrie cel mai bine teoria selecției naturale?,D,Necesită ca indivizii să fie identici.,Mărește dimensiunea unei populații.,Garantează supraviețuirea unei specii.,Are loc pe o perioadă lungă de timp.,
ARC-Challenge/train/Mercury_SC_408038,"În luna decembrie, o parte a Pământului va primi mai puțină energie de la Soare decât cealaltă parte. Care afirmație explică cel mai bine acest fapt?",B,Lumina solară care călătorește spre Pământ se reflectă de pe Lună.,Pământul este înclinat pe axa sa.,Pământul se rotește în jurul axei sale.,Lumina solară care călătorește spre Pământ este blocată de Lună.,
ARC-Challenge/train/Mercury_7160983,"În timpul unei conferințe, un profesor vorbea despre potențialul de explozie al hidrogenului în anumite condiții. Care este cel mai probabil subiect al conferinței profesorului?",C,Proprietăți chimice ale gazelor,Schimbări de fază în materie,Conductivitatea gazelor,Proprietăți fizice ale elementelor,
ARC-Challenge/train/Mercury_7090685,O țară care are resurse limitate ar avea cel mai probabil focus pe dezvoltarea tehnologiei care include,A,automatizarea robotică.,explorarea spațiului cosmic.,tratarea apei.,comunicațiile prin satelit.,
ARC-Challenge/train/ACTAAP_2008_5_7,La ce se descompun celulele pentru a produce energie?,A,clorofilă,apă,alimente,dioxid de carbon,
ARC-Challenge/train/Mercury_182718,Păsările care nu primesc o nutriție adecvată în timpul dezvoltării cântă mai puțin frecvent și pentru perioade mai scurte de timp ca adulții. Care descrie cel mai bine rezultatul stresului nutrițional la aceste păsări cântătoare?,D,Sunt mai puțin susceptibile să găsească aprovizionarea adecvată cu hrană.,Sunt mai puțin susceptibile să obțină locuri bune de cuibărit.,Sunt mai puțin susceptibile să îndepărteze prădătorii.,Sunt mai puțin susceptibile să își atragă parteneri și să își transmită genele.,
